date,open,high,low,close,volume
2025-12-03,103.61,104.775,103.61,104.7,720366.0
2025-12-04,104.7,105.03,104.22,104.94,800081.0
2025-12-05,104.95,105.65,104.95,105.19,637452.0
2025-12-08,105.29,105.335,104.21,104.32,653496.0
2025-12-09,104.26,104.725,103.95,103.97,962841.0
2025-12-10,103.97,106.08,103.97,105.77,1068144.0
2025-12-11,105.6,106.43,105.6,106.38,920257.0
2025-12-12,106.49,106.835,105.33,105.56,1161875.0
2025-12-15,106.03,106.14,105.1645,105.61,991323.0
2025-12-16,105.53,105.76,104.52,105.05,986844.0
2025-12-17,105.04,105.72,104.3244,104.4,813653.0
2025-12-18,104.99,105.61,104.43,104.74,805240.0
2025-12-19,104.49,105.365,104.49,104.99,702260.0
2025-12-22,103.93,104.71,103.8625,104.58,1098949.0
2025-12-23,104.42,104.5,103.92,104.19,544603.0
2025-12-24,104.22,104.82,104.22,104.7,599066.0
2025-12-26,104.63,104.76,104.32,104.69,693896.0
2025-12-29,104.42,104.82,104.145,104.39,576004.0
2025-12-30,104.3,104.61,104.17,104.31,469295.0
2025-12-31,104.22,104.22,103.53,103.56,366533.0
2026-01-02,104.01,104.01,102.84,103.52,860870.0
2026-01-05,103.67,105.3,103.605,104.85,1005915.0
2026-01-06,104.68,106.1955,104.67,106.1,873994.0
2026-01-07,106.07,106.49,105.21,105.25,842721.0
2026-01-08,105.25,106.545,105.02,106.29,724031.0
2026-01-09,106.45,107.38,106.29,107.25,704107.0
2026-01-12,106.98,107.44,106.74,107.32,651839.0
2026-01-13,107.52,107.63,106.42,106.8,759065.0
2026-01-14,106.6,107.3,106.47,107.27,904451.0
2026-01-15,107.79,107.975,107.05,107.67,1043237.0
2026-01-16,107.64,107.72,106.91,106.94,796846.0
2026-01-20,105.63,106.37,105.34,105.54,813563.0
2026-01-21,105.93,107.17,105.68,106.92,968064.0
2026-01-22,107.26,108.1,107.26,107.55,621397.0
2026-01-23,107.46,107.58,106.715,106.98,611273.0
2026-01-26,107.09,107.38,106.98,107.16,561873.0
2026-01-27,107.06,107.32,106.74,106.92,749453.0
2026-01-28,106.76,107.15,105.94,106.09,1175740.0
2026-01-29,105.75,105.88,104.26,105.02,1013534.0
2026-01-30,104.55,105.08,104.0,104.75,928401.0
2026-02-02,104.57,105.315,104.35,105.12,881704.0
2026-02-03,104.71,105.06,102.55,103.43,998801.0
2026-02-04,103.62,105.77,103.62,105.41,1304155.0
2026-02-05,104.4,104.96,103.465,103.69,1093181.0
2026-02-06,104.28,105.65,104.22,105.53,896483.0
2026-02-09,105.1,105.935,104.64,105.74,558315.0
2026-02-10,105.86,106.89,105.75,106.03,689866.0
2026-02-11,106.42,106.42,105.1,105.71,758051.0
2026-02-12,105.97,106.23,104.18,104.53,1085471.0
2026-02-13,105.03,106.165,104.82,105.57,1487553.0
2026-02-17,105.55,106.17,104.39,105.29,1270132.0
2026-02-18,105.31,106.23,105.04,106.11,747954.0
2026-02-19,105.92,106.16,105.43,106.16,783774.0
2026-02-20,105.63,106.94,105.5,106.27,1227443.0
2026-02-23,105.63,105.92,104.59,105.23,938517.0
2026-02-24,105.18,106.59,105.18,106.16,824757.0
2026-02-25,106.09,106.27,105.39,106.12,799248.0
2026-02-26,106.42,107.05,106.1,106.99,1115235.0
2026-02-27,105.84,106.98,105.72,106.93,891065.0
