date,open,high,low,close,volume
2025-10-17,269.2904,272.8504,268.8704,272.1904,221121.0
2025-10-20,273.5904,275.8454,273.5804,275.3004,258248.0
2025-10-21,275.4204,275.8104,274.3804,275.1604,146195.0
2025-10-22,275.5804,275.6567,270.7804,273.2004,194248.0
2025-10-23,273.2004,275.887,273.0604,275.4104,361212.0
2025-10-24,277.4204,278.6904,277.1904,277.9404,179070.0
2025-10-27,281.3504,282.9204,280.9803,282.8004,161059.0
2025-10-28,284.5704,286.7004,283.7919,285.7304,162732.0
2025-10-29,287.6204,288.2495,285.1204,287.5204,287607.0
2025-10-30,285.3504,285.6604,282.9104,282.9904,256378.0
2025-10-31,286.7004,286.7004,282.6405,283.5804,159337.0
2025-11-03,286.1104,286.4504,284.1804,284.8904,236313.0
2025-11-04,280.9904,282.8424,279.7504,280.1004,183517.0
2025-11-05,279.9704,282.4689,279.0504,280.4204,144689.0
2025-11-06,279.7604,279.9104,274.9554,275.7604,229181.0
2025-11-07,274.2304,274.9204,270.1004,274.9204,282768.0
2025-11-10,278.8304,281.5904,278.4104,281.1404,243295.0
2025-11-11,279.8504,281.1504,278.6504,280.9204,140899.0
2025-11-12,282.1904,282.1904,278.7216,280.4404,171295.0
2025-11-13,278.6604,278.8904,273.6604,274.5704,252319.0
2025-11-14,270.7704,277.1826,269.7413,275.3104,244950.0
2025-11-17,273.4204,276.1804,271.0654,272.8204,255961.0
2025-11-18,270.5604,272.0254,267.0211,269.1004,394523.0
2025-11-19,269.6404,273.4804,268.9604,271.2404,320266.0
2025-11-20,276.6804,277.9604,265.3604,265.7204,632191.0
2025-11-21,266.4304,270.0004,263.0704,266.8204,397910.0
2025-11-24,268.8304,273.4204,268.8304,272.9304,333219.0
2025-11-25,271.8704,275.0404,269.2804,274.5404,302450.0
2025-11-26,276.6504,277.6504,275.2004,276.7104,202678.0
2025-11-28,277.0504,278.1004,276.5804,278.1004,84927.0
2025-12-01,275.6804,277.8184,275.1804,277.0304,490696.0
2025-12-02,277.9904,279.8554,277.3004,278.3604,253353.0
2025-12-03,277.1304,278.6404,276.2204,277.9004,254993.0
2025-12-04,278.8804,279.1504,276.7904,278.4204,250620.0
2025-12-05,278.9604,280.3304,278.1455,279.0904,149824.0
2025-12-08,279.6104,280.4404,277.9004,279.0104,164286.0
2025-12-09,278.4504,279.5604,277.9904,279.1504,139782.0
2025-12-10,278.6204,279.9604,277.0633,279.4204,199077.0
2025-12-11,277.5204,279.1489,275.1204,278.9804,227103.0
2025-12-12,277.5704,278.2794,273.2204,274.4604,231150.0
2025-12-15,276.1704,276.3754,272.7304,273.2204,1776235.0
2025-12-16,272.4566,274.6366,271.6566,274.1566,945183.0
2025-12-17,274.1566,274.1566,268.8366,268.9666,254762.0
2025-12-18,272.2066,274.0666,271.1866,272.4266,282536.0
2025-12-19,274.0466,276.3466,273.9641,276.3466,181695.0
2025-12-22,277.9566,277.9966,276.8959,277.6466,209070.0
2025-12-23,277.1666,279.7766,277.1666,279.7566,189690.0
2025-12-24,279.5066,280.6166,279.4616,280.3666,107142.0
2025-12-26,280.6666,281.3966,280.1966,280.5566,107859.0
2025-12-29,278.8666,279.6166,278.1466,279.0266,153250.0
2025-12-30,278.6766,279.3866,278.3766,278.4566,204780.0
2025-12-31,278.8866,278.9066,276.3866,276.4666,152075.0
2026-01-02,278.4266,279.5866,273.9266,275.3066,479531.0
2026-01-05,277.0566,277.5266,275.7276,276.1266,400318.0
2026-01-06,276.5166,277.3066,275.4909,276.8866,503596.0
2026-01-07,277.3866,279.9966,277.1166,278.0366,614347.0
2026-01-08,277.5566,277.6116,274.7766,275.8466,377046.0
2026-01-09,275.9866,277.9466,274.9466,277.3666,210810.0
2026-01-12,275.7166,278.8766,275.7166,277.9666,541374.0
2026-01-13,277.7766,278.2666,275.5366,277.0966,776872.0
2026-01-14,275.3366,275.4666,271.4816,273.6066,471787.0
2026-01-15,276.1066,276.124,273.2566,273.7966,1577326.0
2026-01-16,274.9566,275.2866,272.8966,273.5466,447905.0
2026-01-20,268.9866,270.0181,266.3166,266.8066,471355.0
2026-01-21,267.2966,271.0216,265.8966,269.0866,363968.0
2026-01-22,271.3966,271.7666,270.0166,271.0566,272916.0
2026-01-23,271.2566,273.6765,270.6366,272.6866,431081.0
2026-01-26,273.1366,275.4666,272.8816,274.5766,201126.0
2026-01-27,276.0966,277.4366,275.5266,276.5866,210964.0
2026-01-28,277.4266,277.4266,274.9516,276.1766,208084.0
2026-01-29,274.7766,275.1966,268.4946,273.6866,544840.0
2026-01-30,272.4966,273.5366,270.5366,271.8266,683840.0
2026-02-02,270.8866,273.7783,270.8866,272.7466,270787.0
2026-02-03,273.3466,273.3466,265.8166,267.9066,538125.0
2026-02-04,267.8066,267.8766,262.4516,264.7766,581098.0
2026-02-05,262.4166,263.6866,259.4866,260.1566,473773.0
2026-02-06,262.0766,266.9116,261.4966,266.2166,814379.0
2026-02-09,265.9966,269.5366,265.3167,268.5966,304933.0
2026-02-10,269.5966,270.0366,267.4666,267.6266,265000.0
2026-02-11,269.5966,269.7166,265.5366,266.7666,387156.0
2026-02-12,267.7866,267.7866,261.2366,261.7966,392688.0
2026-02-13,262.2566,262.9166,259.7566,260.4066,372099.0
2026-02-17,259.5366,262.8766,257.8816,261.6666,648065.0
2026-02-18,262.3366,264.6916,261.5766,263.1666,525324.0
2026-02-19,262.0066,263.2566,261.0766,262.1666,446523.0
2026-02-20,260.9866,265.043,260.7766,264.1566,1153287.0
2026-02-23,263.8666,264.3566,259.9866,260.9866,597705.0
2026-02-24,260.9966,263.9366,259.7766,263.6666,743454.0
2026-02-25,264.8066,267.4466,264.8066,267.1166,699280.0
2026-02-26,267.1566,267.1566,261.8666,264.1466,379541.0
2026-02-27,261.1166,262.7466,260.3766,261.8266,477689.0
2026-03-02,258.5566,263.7766,258.2766,262.8466,618759.0
2026-03-03,258.2966,262.0866,256.7666,261.2266,983597.0
2026-03-04,261.6766,264.9166,261.5266,263.8466,609735.0
2026-03-05,262.8166,264.6566,260.8266,263.7866,602144.0
2026-03-06,260.4216,262.5966,259.4966,260.3466,863446.0
2026-03-09,257.7966,263.9566,256.9866,263.3066,671316.0
2026-03-10,263.2166,265.1466,261.7466,263.0366,476699.0
2026-03-11,263.9766,265.3866,261.8566,263.0866,287265.0
2026-03-12,261.3466,261.5866,258.5166,258.5466,414984.0
2026-03-13,259.3266,260.7866,255.2766,255.5766,420554.0
2026-03-16,258.0166,260.1966,257.5566,258.6066,344531.0
2026-03-17,259.5577,260.6717,258.3077,258.7277,263974.0
2026-03-18,257.8777,258.4277,254.6477,254.7677,290858.0
2026-03-19,252.9677,254.7477,251.8577,253.6477,816428.0
2026-03-20,252.9577,252.9577,247.7577,249.3977,658782.0
2026-03-23,253.3877,255.6577,252.1977,252.9677,684868.0
2026-03-24,251.2477,251.8377,249.8577,250.1277,515530.0
2026-03-25,253.0877,253.9877,251.0377,251.7277,903171.0
2026-03-26,249.5977,250.6677,245.8877,245.9677,656663.0
2026-03-27,244.5377,244.7977,240.0477,240.4877,787353.0
2026-03-30,242.5177,242.7504,238.4778,239.6277,588494.0
2026-03-31,242.6527,249.1957,242.4777,248.5677,1169386.0
2026-04-01,250.5177,252.3077,249.4653,250.7277,770186.0
2026-04-02,246.9677,251.2677,245.6777,250.7277,594527.0
2026-04-06,250.8977,252.3277,250.1577,251.7177,352607.0
